OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,T_HOM_R,T_MUJ_R,T_POB_R,T_HOM_U,T_MUJ_U,T_POB_U,T_HOM,T_MUJ,T_POB,T_VIV_U,T_VIV_R,T_VIV,Shape_Leng,Shape__Area,Shape__Length,SUPERFICIE__KM2_,Densidad_
1,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,121,MAGALLANES,12102,LAGUNA BLANCA,191,83,274,0,0,0,191,83,274,0,285,285,3.44127449,9341688956.39844,509762.68275626,3496.80249023,0.0783573
2,2,REGIÓN DE ANTOFAGASTA,22,EL LOA,2202,OLLAGÜE,207,114,321,0,0,0,207,114,321,0,439,439,2.63725027,3388897013.38281,308997.73044624,2920.85791016,0.10989922
3,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,123,TIERRA DEL FUEGO,12303,TIMAUKEL,343,62,405,0,0,0,343,62,405,0,214,214,20.83090317,32044560332.6758,2862313.3286004,11018.55761719,0.03675617
4,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11303,TORTEL,285,238,523,0,0,0,285,238,523,0,320,320,98.27734869,44929437798.3516,12963181.1576907,20106.42773438,0.02601158
5,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,121,MAGALLANES,12103,RÍO VERDE,522,95,617,0,0,0,522,95,617,0,231,231,47.99236353,25055775219.25,6348059.24102224,9158.57910156,0.06736853
6,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11302,O'HIGGINS,374,251,625,0,0,0,374,251,625,0,363,363,5.77980902,17619864341.7305,809630.5835543,7773.66015625,0.08039971
7,15,REGIÓN DE ARICA Y PARINACOTA,152,PARINACOTA,15202,GENERAL LAGOS,412,272,684,0,0,0,412,272,684,0,697,697,2.2648258,2504779645.1875,258714.90827663,2257.39990234,0.30300346
8,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,121,MAGALLANES,12104,SAN GREGORIO,619,180,799,0,0,0,619,180,799,0,372,372,7.26160767,17994593050.8672,952277.96410462,6742.06689453,0.11850965
9,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,111,COYHAIQUE,11102,LAGO VERDE,494,358,852,0,0,0,494,358,852,0,606,606,6.07598579,10678330699.1328,779258.45184948,5437.75732422,0.15668224
10,5,REGIÓN DE VALPARAÍSO,51,VALPARAÍSO,5104,JUAN FERNÁNDEZ,499,427,926,0,0,0,499,427,926,0,445,445,1.17745916,150532370.107422,142974.46738618,103.99211884,8.90452099
11,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,123,TIERRA DEL FUEGO,12302,PRIMAVERA,930,228,1158,0,0,0,930,228,1158,0,472,472,5.52661471,11662605826.5039,729898.19751402,4284.45117188,0.27027965
12,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,124,ÚLTIMA ESPERANZA,12402,TORRES DEL PAINE,800,409,1209,0,0,0,800,409,1209,0,226,226,5.74225062,16607397275.6328,789209.52697061,6514.93408203,0.18557364
13,1,REGIÓN DE TARAPACÁ,14,TAMARUGAL,1402,CAMIÑA,657,593,1250,0,0,0,657,593,1250,0,1092,1092,2.11395854,2486391362.34473,242555.63865905,2199.68554688,0.56826305
14,15,REGIÓN DE ARICA Y PARINACOTA,151,ARICA,15102,CAMARONES,726,529,1255,0,0,0,726,529,1255,0,948,948,3.66140297,4424111594.96875,415486.32474352,3934.91918945,0.31893921
15,10,REGIÓN DE LOS LAGOS,104,PALENA,10404,PALENA,350,286,636,536,539,1075,886,825,1711,569,433,1002,3.85637432,5077216797.39453,499055.66478163,2653.61474609,0.64478087
16,1,REGIÓN DE TARAPACÁ,14,TAMARUGAL,1403,COLCHANE,995,733,1728,0,0,0,995,733,1728,0,2030,2030,3.0907749,4528236010.1084,353257.69822006,4007.41479492,0.43120068
17,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,112,AYSÉN,11203,GUAITECAS,82,56,138,1084,621,1705,1166,677,1843,612,78,690,10.00449532,1211369795.89062,1279899.63876854,631.37579346,2.91902232
18,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,122,ANTÁRTICA CHILENA,12201,CABO DE HORNOS,153,36,189,1042,832,1874,1195,868,2063,665,97,762,152.49507201,47830572065.8594,20655966.6272957,15811.21679688,0.130477
19,10,REGIÓN DE LOS LAGOS,104,PALENA,10402,FUTALEUFÚ,427,338,765,948,910,1858,1375,1248,2623,926,507,1433,2.35468126,2325351602.76953,304755.90411787,1236.54821777,2.1212275
20,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,114,GENERAL CARRERA,11402,RÍO IBÁÑEZ,1445,1221,2666,0,0,0,1445,1221,2666,0,1813,1813,4.79889045,12545169349.793,616637.39472256,6001.54296875,0.44421911
21,1,REGIÓN DE TARAPACÁ,14,TAMARUGAL,1404,HUARA,901,720,1621,600,509,1109,1501,1229,2730,543,2328,2871,6.20561639,11867326724.3828,708182.80278642,10471.19335938,0.26071528
22,15,REGIÓN DE ARICA Y PARINACOTA,152,PARINACOTA,15201,PUTRE,361,252,613,1693,459,2152,2054,711,2765,521,1396,1917,3.81494496,6578891020.75098,436546.35552011,5884.54101563,0.46987525
23,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6202,LA ESTRELLA,1023,885,1908,580,553,1133,1603,1438,3041,535,1358,1893,1.22460343,634667849.935547,149534.44900304,433.15686035,7.0205512
24,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8310,SAN ROSENDO,269,236,505,1392,1515,2907,1661,1751,3412,1130,370,1500,0.5724293,145618822.09375,70279.84112775,92.24089813,36.99010086
25,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6309,PUMANQUE,1751,1670,3421,0,0,0,1751,1670,3421,0,1670,1670,1.06781414,652377725.335938,130162.84082577,441.33480835,7.75148439
26,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11301,COCHRANE,419,230,649,1483,1358,2841,1902,1588,3490,1310,461,1771,6.58084153,18804271745.3281,868268.34048886,8639.51464844,0.40395787
