CODIGO_POSTAL_COMUNA,COMUNA,NOM_COMUNA
2710000,5602,ALGARROBO
9650000,13502,ALHUÉ
4590000,8314,ALTO BIOBÍO
1650000,3302,ALTO DEL CARMEN
1130000,1107,ALTO HOSPICIO
5710000,10202,ANCUD
1750000,4103,ANDACOLLO
4650000,9201,ANGOL
1240000,2101,ANTOFAGASTA
4490000,8302,ANTUCO
4360000,8202,ARAUCO
1000000,15101,ARICA
6000000,11201,AYSÉN
9500000,13402,BUIN
3930000,16102,BULNES
2050000,5402,CABILDO
6350000,12201,CABO DE HORNOS
4470000,8303,CABRERO
1390000,2201,CALAMA
5570000,10102,CALBUCO
1570000,3102,CALDERA
2290000,5502,CALERA
9560000,13403,CALERA DE TANGO
2130000,5302,CALLE LARGA
1040000,15102,CAMARONES
1150000,1402,CAMIÑA
1960000,4202,CANELA
4390000,8203,CAÑETE
5010000,9102,CARAHUE
2680000,5603,CARTAGENA
2480000,5102,CASABLANCA
5700000,10201,CASTRO
2230000,5702,CATEMU
3690000,7201,CAUQUENES
9200000,13102,CERRILLOS
9080000,13103,CERRO NAVIA
5850000,10401,CHAITÉN
3720000,7202,CHANCO
1490000,3201,CHAÑARAL
3120000,6302,CHÉPICA
4100000,8103,CHIGUAYANTE
6050000,11401,CHILE CHICO
3780000,16101,CHILLÁN
3820000,16103,CHILLÁN VIEJO
3090000,6303,CHIMBARONGO
5040000,9121,CHOLCHOL
5770000,10203,CHONCHI
6010000,11202,CISNES
3990000,16202,COBQUECURA
5560000,10103,COCHAMÓ
6100000,11301,COCHRANE
2900000,6102,CODEGUA
3970000,16203,COELEMU
3870000,16302,COIHUECO
3010000,6103,COINCO
3610000,7402,COLBÚN
1160000,1403,COLCHANE
9340000,13301,COLINA
4680000,9202,COLLIPULLI
3000000,6104,COLTAUCO
1890000,4302,COMBARBALÁ
4030000,8101,CONCEPCIÓN
8540000,13104,CONCHALÍ
2510000,5103,CONCÓN
3560000,7102,CONSTITUCIÓN
4400000,8204,CONTULMO
1530000,3101,COPIAPÓ
1780000,4102,COQUIMBO
4190000,8102,CORONEL
5190000,14102,CORRAL
5950000,11101,COYHAIQUE
4890000,9103,CUNCO
4700000,9203,CURACAUTÍN
9630000,13503,CURACAVÍ
5740000,10204,CURACO DE VÉLEZ
4370000,8205,CURANILAHUE
4910000,9104,CURARREHUE
3570000,7103,CUREPTO
3340000,7301,CURICÓ
5730000,10205,DALCAHUE
1500000,3202,DIEGO DE ALMAGRO
3020000,6105,DOÑIHUE
8010000,13105,EL BOSQUE
3900000,16104,EL CARMEN
9810000,13602,EL MONTE
2700000,5604,EL QUISCO
2690000,5605,EL TABO
3540000,7104,EMPEDRADO
4710000,9204,ERCILLA
9160000,13106,ESTACIÓN CENTRAL
4170000,8104,FLORIDA
4940000,9105,FREIRE
1630000,3303,FREIRINA
5600000,10104,FRESIA
5620000,10105,FRUTILLAR
5870000,10402,FUTALEUFÚ
5180000,14202,FUTRONO
5030000,9106,GALVARINO
1080000,15202,GENERAL LAGOS
4960000,9107,GORBEA
2880000,6106,GRANEROS
6020000,11203,GUAITECAS
2310000,5503,HIJUELAS
5860000,10403,HUALAIHUÉ
3400000,7302,HUALAÑÉ
4600000,8112,HUALPÉN
4180000,8105,HUALQUI
1140000,1404,HUARA
1640000,3304,HUASCO
8580000,13107,HUECHURABA
1930000,4201,ILLAPEL
8380000,13108,INDEPENDENCIA
1100000,1101,IQUIQUE
9790000,13603,ISLA DE MAIPO
2770000,5201,ISLA DE PASCUA
2600000,5104,JUAN FERNÁNDEZ
7970000,13109,LA CISTERNA
2280000,5504,LA CRUZ
3250000,6202,LA ESTRELLA
8240000,13110,LA FLORIDA
8780000,13111,LA GRANJA
